topic,avg_rating,n,std,ratings,freq,pol_points,ME,residuals,comment_length
leisure-automotive,4.702031877357343,41095,0.924927271297819,[5 1 3 2 4],[7281  323  190  176  249],1.9020562112179098,0.008942546011014695,-0.007125860172930043,210.11242243581944
kids-family-pets-animals,4.855482566953007,9895,0.6533112356030736,[5 4 1 2 3],[1860   45   40   13   21],1.9494694290045478,0.012872423483646287,0.004412587157589742,245.91965639211722
judaism,4.778606965174129,14070,0.8470594101870635,[1 5 2 4 3],[ 114 2596   20   61   23],1.954868514570007,0.013996353856507712,0.027784186074146566,219.91755508173418
religion,4.818252730109204,19230,0.7282928446639793,[5 4 1 2 3],[3559  105   92   46   44],1.937857514300572,0.010293533731301747,0.0015045228853680648,265.4430577223089
sports-football,4.6511601963409195,179280,1.0114900984770145,[2 5 4 3 1],[  686 31286  1082   920  1882],1.8993752788933511,0.004682133636218953,0.0020863432322357767,226.70917001338688
kids-family-parenting,4.796848574846347,121215,0.7962519766850698,[5 1 4 3 2],[22473   768   415   323   264],1.9453450480551087,0.004482501376353038,0.013996069061650074,272.27867838138843
health-fitness-fitness,4.861337554412347,126350,0.6504732316060663,[5 2 1 3 4],[23937   232   478   273   350],1.9553620894341115,0.0035866574201830525,0.008936427859586926,273.9521962801741
news-entertainment-news,4.654456654456655,118755,1.0310967610440822,[5 3 1 2 4],[20973   502  1365   416   495],1.91937181592354,0.005864372677099522,0.02131221133593253,210.93010820597027
news-daily-news,3.9652029274783764,75150,1.5579470500362549,[5 2 3 4 1],[9717  903 1066  888 2456],1.7389886892880906,0.011138745770624991,0.002067619212930527,244.3596141051231
kids-family-stories-for-kids,4.735020163448842,140105,0.8421196097481849,[4 5 2 1 3],[ 1412 24693   323   929   664],1.8906891260126333,0.004409557948875223,-0.026205176547656528,281.1336854501981
tv-film-film-interviews,4.773748128431209,30055,0.8375143502760946,[5 1 4 2 3],[5525  208  112   84   82],1.940109798702379,0.009468517408723667,0.014161402884926844,234.74347030444184
music-music-history,4.752938465084121,21695,0.841309303812126,[5 4 2 1 3],[3909  137   67  141   85],1.9138050241991242,0.011194996328259299,-0.007278343655188868,243.85388338326803
science-life-sciences,4.619645494830133,6770,1.0826677449548752,[5 4 3 2 1],[1178   40   25   19   92],1.9194977843426884,0.02578985824723652,0.029576574989429005,231.27991137370753
comedy-stand-up,4.816260439747742,29335,0.7791742113847673,[5 2 1 4 3],[5502   34  198   82   51],1.9628430202829386,0.00891640147105301,0.026955800377707506,180.7707516618374
leisure-aviation,4.82992125984252,9525,0.6691140725571036,[5 1 4 3 2],[1763   26   44   40   32],1.9181102362204725,0.013437416010375501,-0.020970705305911164,277.11181102362207
sports-golf,4.779472044597475,30495,0.8195422102190995,[5 3 2 1 4],[5599   96   70  203  131],1.9355632070831283,0.009198247664057314,0.0082766342974534,195.8206263321856
business-non-profit,4.901167315175098,12850,0.5589374640665549,[5 2 1 3 4],[2471   15   39    8   37],1.9735408560311285,0.009664062886774481,0.017803515711784623,207.31322957198444
